State_code,State,Abbreviation
1,Alabama,AL
2,Arizona,AZ
3,Arkansas,AR
4,California,CA
5,Colorado,CO
6,Connecticut,CT
7,Delaware,DE
8,Florida,FL
9,Georgia,GA
10,Idaho,ID
11,Illinois,IL
12,Indiana,IN
13,Iowa,IA
14,Kansas,KS
15,Kentucky,KY
16,Louisiana,LA
17,Maine,ME
18,Maryland,MD
19,Massachusetts,MA
20,Michigan,MI
21,Minnesota,MN
22,Mississippi,MS
23,Missouri,MO
24,Montana,MT
25,Nebraska,NE
26,Nevada,NV
27,New Hampshire,NH
28,New Jersey,NJ
29,New Mexico,NM
30,New York,NY
31,North Carolina,NC
32,North Dakota,ND
33,Ohio,OH
34,Oklahoma,OK
35,Oregon,OR
36,Pennsylvania,PA
37,Rhode Island,RI
38,South Carolina,SC
39,South Dakota,SD
40,Tennessee,TN
41,Texas,TX
42,Utah,UT
43,Vermont,VT
44,Virginia,VA
45,Washington,WA
46,West Virginia,WV
47,Wisconsin,WI
48,Wyoming,WY
49,Not Used,NA
50,Alaska,AK
51,Hawaii,HI
66,Puerto Rico,PR
67,Virgin Islands,VI
91,Pacific Islands,PI
