STATE_ABBR,land_area_acres,region
AL,32412800,R8
AK,365209600,"NA"
AZ,72699520,"NA"
AR,33302400,R8
CA,99698560,"NA"
CO,66330240,"NA"
CT,3098880,R9
DE,1246720,R9
FL,34319360,R8
GA,36808320,R8
HI,4110080,"NA"
ID,52891520,"NA"
IL,35531520,R9
IN,22928640,R9
IA,35747840,R9
KS,52325120,R2
KY,25271040,R8
LA,27650560,R8
ME,19738880,R9
MD,6212480,R9
MA,4992e3,R9
MI,36184320,R9
MN,50960640,R9
MS,30030720,R8
MO,43994240,R9
MT,93148800,"NA"
NE,49167360,R2
NV,70259840,"NA"
NH,5729280,R9
NJ,4706560,R9
NM,77630720,"NA"
NY,30160640,R9
NC,31114880,R8
ND,4416e4,R2
OH,26150400,R9
OK,43900160,R8
OR,61432320,"NA"
PA,28634880,R9
PR,2190720,"NA"
RI,661120,R9
SC,19238400,R8
SD,48519040,R2
TN,26389760,R8
TX,167187840,R8
UT,52588160,"NA"
VT,5898240,R9
VI,85760,"NA"
VA,25273600,R8
WA,42531200,"NA"
WV,15384320,R9
WI,34660480,R9
WY,62139520,"NA"
